"","STRING","MEANING","AGE","bin"
"168","crayon","for coloring",2.51666666666667,"(2,3]"
"169","get","receive",2.83000333333333,"(2,3]"
"170","girl","a sweetheart",2.72611935483871,"(2,3]"
"171","grass","green lawn growth",2.9094435483871,"(2,3]"
"172","i","myself",2.38073166666667,"(2,3]"
"173","shower","a short rain",4.08248651515152,"(4,5]"
"174","sodapop","a fizzy drink",1.83333333333333,"(1,2]"
"175","tongue","part of mouth",3.10182395833333,"(3,4]"
"176","what","used to ask question",2.87666541666667,"(2,3]"
"177","jump","a move in checkers",2.88235584319527,"(2,3]"
"178","help","aid",3.15120238954741,"(3,4]"
"179","play","to pretend",2.7765765133342,"(2,3]"
"180","comb","for smoothing hair",3.31770626019368,"(3,4]"
"181","corn","a field crop",3.42180584862385,"(3,4]"
"182","hit","to strike or slap",3.02337641313998,"(3,4]"
"183","soup","a liquid food",3.26003540722299,"(3,4]"
"184","sun","gives light and heat",2.41564912173203,"(2,3]"
"185","pajamas","sleeping clothes",3.05869684499314,"(3,4]"
"186","do","make or act",3.43343775316456,"(3,4]"
"187","peas","small green vegetables",2.95890111204955,"(2,3]"
"188","hamburger","ground meat",3.53038265306123,"(3,4]"
"189","napkin","a wiping cloth",3.74056373571783,"(3,4]"
"190","stop","to prevent",2.66506464480874,"(2,3]"
"191","run","flow",2.94808389945652,"(2,3]"
"192","love","sweetheart",3.33714952269318,"(3,4]"
"193","table","piece of furniture",2.43637142255892,"(2,3]"
"194","lion","large catlike animal",2.74496317340067,"(2,3]"
"195","glasses","help eyes to see",2.86207660338529,"(2,3]"
"196","clap","slap hands together",2.78274865591398,"(2,3]"
"197","window","opening for light",2.83738521248521,"(2,3]"
"198","swim","to move in the water",3.21040542115142,"(3,4]"
"199","turtle","shell-backed animal",2.87425123489228,"(2,3]"
"200","breakfast","morning meal",2.68695837497647,"(2,3]"
"201","face","to look straight at",2.69633037033327,"(2,3]"
"202","medicine","drugs for sick",3.72461682194617,"(3,4]"
"203","sky","upper air, clouds",2.88787919354839,"(2,3]"
"204","break","to tear apart",3.89944126536098,"(3,4]"
"205","beans","vegetable",2.92265792410714,"(2,3]"
"206","potatochip","a fried potato slice",1.86383928571428,"(1,2]"
"207","happy","glad",2.76929417791359,"(2,3]"
"208","throw","toss",3.32774596225248,"(3,4]"
"209","yogurt","food made from milk",3.31171419141914,"(3,4]"
"210","park","a place for enjoyment",3.29348490327381,"(3,4]"
"211","school","university division",3.05524947916667,"(3,4]"
"212","kitchen","cooking room",2.87904506655339,"(2,3]"
"213","shorts","summer parks",2.91043046357616,"(2,3]"
"214","plate","cover with metal",3.09234853219697,"(3,4]"
"215","night","dark time",2.85209959526399,"(2,3]"
"216","belt","strap to hold up pants",3.77223287869704,"(3,4]"
"217","motorcycle","two-wheeled power bike",3.46224593495935,"(3,4]"
"218","drive","to force",3.7059722898498,"(3,4]"
"219","jacket","a covering",3.72284729649436,"(3,4]"
"220","spaghetti","food",3.10380208333333,"(3,4]"
"221","pickle","a vinegary cucumber",3.63653051777619,"(3,4]"
"222","tiger","large catlike animal",3.33464536216019,"(3,4]"
"223","butterfly","moth-like insect",2.49924707602339,"(2,3]"
"224","purse","a woman's money and bag",3.68074772458629,"(3,4]"
"225","food","things to eat",2.44555444978266,"(2,3]"
"226","heavy","weighs a lot",3.52258162475822,"(3,4]"
"227","shovel","digging tool",3.95905130208333,"(3,4]"
"228","applesauce","a mashed apple dish",3.10109195402299,"(3,4]"
"229","red","color of blood",2.61331677083333,"(2,3]"
"230","strawberry","a small red fruit",3.26799741602067,"(3,4]"
"231","animal","a beast",2.81627945736434,"(2,3]"
"232","my","is mine",2.43008488095238,"(2,3]"
"233","bad","naughty",2.26539284018065,"(2,3]"
"234","couch","a long, padded seat",3.41551973314042,"(3,4]"
"235","knife","a cutting tool",2.8537200165426,"(2,3]"
"236","hammer","drives nails",3.23631402680653,"(3,4]"
"237","blow","puff and pant",3.33614927884615,"(3,4]"
"238","picture","make a drawing",3.08390380536131,"(3,4]"
"239","fix","get something ready",3.99473732389686,"(3,4]"
"240","pancake","thin flat cake",3.07656862745098,"(3,4]"
"241","stroller","a light baby carriage",4.09178680926916,"(4,5]"
"242","sheep","wooly animal",3.26096200361159,"(3,4]"
"243","ant","small insect",3.64317478415916,"(3,4]"
"244","lunch","noon meal",3.17706669572798,"(3,4]"
"245","dress","clothes",3.11285133141762,"(3,4]"
"246","stick","a piece of wood",3.38268049155146,"(3,4]"
"247","garbage","waste matter",3.57902451093211,"(3,4]"
"248","zipper","fastener",3.40428208668968,"(3,4]"
"249","here","in this place",2.8710580807466,"(2,3]"
"250","sandwich","bread with spread",3.1701102170161,"(3,4]"
"251","glass","a breakable material",3.46338305337596,"(3,4]"
"252","peanutbutter","mashed peanuts",1.90151515151515,"(1,2]"
"253","story","floor of a building",2.72712994949495,"(2,3]"
"254","hungry","needing food",2.66572593745676,"(2,3]"
